temp_avg,dew_avg,humidity_avg,press_avg,visibility_avg,wind_avg,Events
10,-3,38,1017,10,5,No Rain
9,4,74,1016,9,5,Rain
8,-1,57,1020,10,6,No Rain
9,-5,41,1024,10,6,No Rain
12,-6,34,1024,10,8,No Rain
13,-7,26,1016,10,10,No Rain
16,0,40,1012,10,10,Rain
11,3,57,1012,10,6,No Rain
13,2,53,1011,10,10,Rain
9,-2,52,1016,10,8,No Rain
10,-3,39,1015,10,8,No Rain
10,-8,30,1022,10,14,No Rain
11,-1,45,1018,10,3,Rain
12,8,80,1010,9,5,Rain
13,6,66,1013,10,5,Rain
13,3,54,1016,10,5,No Rain
14,3,47,1016,10,6,No Rain
16,3,43,1015,10,6,No Rain
16,4,51,1014,10,6,Rain
13,-2,37,1018,10,5,No Rain
14,2,42,1017,10,3,No Rain
18,1,32,1015,10,10,No Rain
19,3,37,1011,10,6,No Rain
17,-1,31,1009,10,13,Rain
10,-5,36,1018,10,6,No Rain
10,-5,35,1026,10,8,No Rain
12,-2,36,1025,10,13,No Rain
12,-2,36,1025,10,13,No Rain
16,4,46,1017,10,6,No Rain
16,4,51,1016,10,6,No Rain
17,2,35,1016,10,8,No Rain
20,6,44,1016,10,16,Rain
18,9,59,1013,10,6,No Rain
17,8,62,1013,10,6,Rain
17,9,63,1014,10,3,No Rain
17,7,55,1013,10,8,No Rain
16,9,71,1014,10,3,Rain
18,7,58,1011,10,6,Rain
20,4,37,1012,10,13,Rain
19,6,42,1013,10,6,No Rain
21,8,47,1010,10,3,Rain
17,5,47,1016,10,8,No Rain
20,4,37,1016,10,11,No Rain
19,8,53,1013,10,8,Rain
17,12,76,1012,10,6,Rain
17,7,59,1013,8,5,No Rain
17,4,45,1015,10,5,No Rain
20,6,41,1014,10,10,No Rain
22,8,48,1011,10,10,Rain
21,7,47,1007,10,11,Rain
16,7,56,1008,10,11,Rain
17,5,46,1011,10,5,No Rain
17,7,58,1013,10,6,Rain
16,9,69,1014,9,6,Rain
17,8,58,1016,10,5,No Rain
19,6,42,1014,10,8,Rain
19,8,54,1013,10,8,Rain
19,6,47,1014,10,5,No Rain
20,6,39,1017,10,6,No Rain
23,6,35,1015,10,13,No Rain
23,2,27,1011,10,8,No Rain
19,4,41,1011,10,11,No Rain
19,6,45,1012,10,8,No Rain
19,4,39,1015,10,6,No Rain
20,6,38,1015,10,8,No Rain
24,8,34,1016,10,11,No Rain
24,7,35,1015,9,13,Rain
24,10,46,1012,10,6,No Rain
23,11,47,1012,10,6,No Rain
26,9,37,1011,10,11,No Rain
27,8,33,1007,10,11,No Rain
23,7,36,1007,10,5,No Rain
23,8,42,1010,10,6,Rain
23,8,44,1011,10,5,No Rain
27,8,34,1007,10,13,No Rain
23,7,37,1008,10,10,Rain
20,9,55,1012,10,5,Rain
19,6,44,1013,10,6,Rain
23,7,37,1009,10,10,No Rain
26,8,35,1007,10,6,No Rain
26,7,32,1005,10,6,Rain
21,7,40,1007,10,8,No Rain
20,9,53,1010,10,11,Rain
20,8,50,1014,10,6,No Rain
23,7,36,1013,10,11,No Rain
27,7,32,1012,10,11,No Rain
26,9,39,1015,10,11,No Rain
28,11,37,1013,10,13,No Rain
29,11,35,1009,10,11,No Rain
30,12,36,1009,10,18,No Rain
27,9,33,1010,10,18,Rain
26,9,34,1014,10,10,No Rain
28,6,25,1013,10,10,No Rain
29,9,30,1011,10,11,No Rain
32,9,26,1007,10,10,No Rain
30,13,35,1008,10,11,No Rain
28,13,41,1010,10,10,No Rain
26,12,47,1008,10,8,Rain
22,11,48,1010,10,8,No Rain
26,9,37,1010,10,11,No Rain
27,11,37,1012,10,14,No Rain
27,11,39,1013,10,14,No Rain
27,9,33,1012,9,18,No Rain
27,9,35,1009,10,14,Rain
24,11,46,1009,10,8,Rain
27,11,39,1009,10,13,Rain
28,10,33,1012,10,16,No Rain
