"","Team","Season","GP","TOI","CF","CA","C...","CF.","CF.60","CA.60","GF","GA","G...","GF.","GF.60","GA.60","xGF","xGA","xG...","xGF.","xGF.60","xGA.60","PENT","PEND","P...","Sh.","Sv.","PDO"
"1","ANA","2007-2008",81,571.92,138,783,-645,14.98,14.48,82.14,6,57,-51,9.52,0.63,5.98,6.35,52.86,-46.51,10.72,0.67,5.55,38,37,-1,6.52,88,94.52
"2","ARI","2007-2008",81,491.75,116,704,-588,14.15,14.15,85.9,9,51,-42,15,1.1,6.22,6.53,46.24,-39.71,12.37,0.8,5.64,13,30,17,12.16,86.1,98.27
"3","ATL","2007-2008",80,517.42,118,787,-669,13.04,13.68,91.26,13,61,-48,17.57,1.51,7.07,7.08,46.82,-39.74,13.14,0.82,5.43,21,29,8,16.25,85.81,102.06
"4","BOS","2007-2008",30,162.69,27,258,-231,9.47,9.96,95.15,2,26,-24,7.14,0.74,9.59,1.26,17.75,-16.49,6.63,0.46,6.55,5,10,5,11.11,82.19,93.3
"5","BUF","2007-2008",76,479.03,105,673,-568,13.5,13.15,84.3,7,45,-38,13.46,0.88,5.64,4.99,40.72,-35.73,10.92,0.63,5.1,14,17,3,10.94,87.43,98.37
"6","CAR","2007-2008",79,506.64,139,727,-588,16.05,16.46,86.1,3,61,-58,4.69,0.36,7.22,8.33,52.17,-43.84,13.77,0.99,6.18,26,27,1,3.26,84.75,88.01
"7","CBJ","2007-2008",82,549.24,128,752,-624,14.55,13.98,82.15,5,52,-47,8.77,0.55,5.68,6.75,43.41,-36.66,13.46,0.74,4.74,24,29,5,5.95,88.07,94.03
"8","CGY","2007-2008",82,578.97,119,758,-639,13.57,12.33,78.55,8,62,-54,11.43,0.83,6.43,6.88,47.7,-40.82,12.61,0.71,4.94,22,46,24,10.39,86.04,96.43
"9","CHI","2007-2008",80,580.01,122,791,-669,13.36,12.62,81.83,16,61,-45,20.78,1.66,6.31,6.85,54.2,-47.35,11.22,0.71,5.61,29,33,4,19.05,86.5,105.55
"10","COL","2007-2008",82,470.83,78,693,-615,10.12,9.94,88.31,2,52,-50,3.7,0.25,6.63,4.27,46.92,-42.65,8.34,0.54,5.98,12,20,8,3.77,85.56,89.33
"11","DAL","2007-2008",82,558.61,119,717,-598,14.23,12.78,77.01,14,42,-28,25,1.5,4.51,5.77,47.18,-41.41,10.9,0.62,5.07,16,34,18,17.07,88.92,105.99
"12","DET","2007-2008",81,558.39,149,625,-476,19.25,16.01,67.16,7,46,-39,13.21,0.75,4.94,6.69,46.35,-39.66,12.61,0.72,4.98,20,36,16,7.45,87.43,94.88
"13","EDM","2007-2008",82,564.17,118,824,-706,12.53,12.55,87.63,5,47,-42,9.62,0.53,5,6.31,50.53,-44.22,11.1,0.67,5.37,21,21,0,7.14,89.72,96.86
"14","FLA","2007-2008",80,547.4,135,836,-701,13.9,14.8,91.63,4,48,-44,7.69,0.44,5.26,8.4,52.41,-44.01,13.81,0.92,5.74,19,29,10,3.88,89.43,93.31
"15","L.A","2007-2008",82,462.02,92,784,-692,10.5,11.95,101.81,9,59,-50,13.24,1.17,7.66,5.99,53.92,-47.93,10,0.78,7,23,17,-6,15.79,86.74,102.53
"16","MIN","2007-2008",80,485.28,118,679,-561,14.81,14.59,83.95,3,43,-40,6.52,0.37,5.32,6.92,40.43,-33.51,14.61,0.86,5,20,27,7,3.8,89.41,93.21
"17","MTL","2007-2008",77,472.43,125,810,-685,13.37,15.88,102.87,6,45,-39,11.76,0.76,5.72,5.83,46.98,-41.15,11.04,0.74,5.97,28,30,2,7.79,88.72,96.51
